cbsa_code,cbsa_name,total_count,pubHS_count,privHS_count,cc_count,other_count
31080,"Los Angeles-Long Beach-Anaheim, CA",210,114,14,47,35
40140,"Riverside-San Bernardino-Ontario, CA",79,31,0,35,13
41860,"San Francisco-Oakland-Hayward, CA",34,10,1,19,4
41740,"San Diego-Carlsbad, CA",27,13,1,7,6
40900,"Sacramento--Roseville--Arden-Arcade, CA",22,11,1,9,1
29820,"Las Vegas-Henderson-Paradise, NV",19,13,4,0,2
42660,"Seattle-Tacoma-Bellevue, WA",18,8,0,3,7
46520,"Urban Honolulu, HI",14,5,6,0,3
12540,"Bakersfield, CA",13,4,0,7,2
41940,"San Jose-Sunnyvale-Santa Clara, CA",10,3,0,4,3
38900,"Portland-Vancouver-Hillsboro, OR-WA",9,6,2,0,1
20940,"El Centro, CA",8,4,0,4,0
19740,"Denver-Aurora-Lakewood, CO",8,6,1,0,1
37100,"Oxnard-Thousand Oaks-Ventura, CA",6,1,0,4,1
38060,"Phoenix-Mesa-Scottsdale, AZ",6,3,1,0,2
42220,"Santa Rosa, CA",5,1,0,3,1
23420,"Fresno, CA",5,3,0,1,1
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",4,0,0,3,1
42200,"Santa Maria-Santa Barbara, CA",4,0,0,3,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",3,0,0,0,3
47300,"Visalia-Porterville, CA",3,1,0,0,2
44700,"Stockton-Lodi, CA",3,0,0,2,1
33700,"Modesto, CA",3,1,0,2,0
46700,"Vallejo-Fairfield, CA",3,1,1,1,0
41500,"Salinas, CA",3,0,0,3,0
10740,"Albuquerque, NM",3,0,2,0,1
41620,"Salt Lake City, UT",3,1,2,0,0
25900,"Hilo, HI",3,0,1,0,2
14460,"Boston-Cambridge-Newton, MA-NH",2,0,0,0,2
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2,0,0,0,2
32900,"Merced, CA",2,0,0,2,0
34900,"Napa, CA",2,0,1,1,0
42100,"Santa Cruz-Watsonville, CA",2,1,0,1,0
14500,"Boulder, CO",2,2,0,0,0
28180,"Kapaa, HI",2,0,2,0,0
25540,"Hartford-West Hartford-East Hartford, CT",1,0,0,0,1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,0,0,0,1
19100,"Dallas-Fort Worth-Arlington, TX",1,0,0,0,1
12420,"Austin-Round Rock, TX",1,0,0,0,1
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",1,0,0,0,1
12060,"Atlanta-Sandy Springs-Roswell, GA",1,0,0,0,1
38300,"Pittsburgh, PA",1,0,0,0,1
46380,"Ukiah, CA",1,0,0,1,0
17340,"Clearlake, CA",1,0,0,0,1
25260,"Hanford-Corcoran, CA",1,1,0,0,0
39340,"Provo-Orem, UT",1,0,1,0,0
46060,"Tucson, AZ",1,1,0,0,0
39140,"Prescott, AZ",1,0,1,0,0
17820,"Colorado Springs, CO",1,1,0,0,0
42140,"Santa Fe, NM",1,0,1,0,0
49700,"Yuba City, CA",1,1,0,0,0
16980,"Chicago-Naperville-Elgin, IL-IN-WI",1,0,0,0,1
12580,"Baltimore-Columbia-Towson, MD",1,0,0,0,1
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1,0,0,0,1
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,0,0,0,1
33340,"Milwaukee-Waukesha-West Allis, WI",1,0,0,0,1
27980,"Kahului-Wailuku-Lahaina, HI",1,1,0,0,0
