"univ_id","univ_name","univ_abbrev","state_code","state_name","metro1","metro1_name","metro2","metro2_name","metro3","metro3_name"
199193,"North Carolina State University at Raleigh","NCSU","NC","North Carolina",39580,"Raleigh, NC",NULL,NULL,NULL,NULL
186380,"Rutgers University-New Brunswick","Rutgers","NJ","New Jersey",35620,"New York-Newark-Jersey City, NY-NJ-PA",NULL,NULL,NULL,NULL
149222,"Southern Illinois University-Carbondale","SIU","IL","Illinois",41180,"St. Louis, MO-IL",NULL,NULL,NULL,NULL
196097,"Stony Brook University","SUNY Stony Brook","NY","New York",35620,"New York-Newark-Jersey City, NY-NJ-PA",NULL,NULL,NULL,NULL
100751,"University of Alabama","U of Alabama","AL","Alabama",13820,"Birmingham-Hoover, AL",NULL,NULL,NULL,NULL
106397,"University of Arkansas","U of Arkansas","AR","Arkansas",22220,"Fayetteville-Springdale-Rogers, AR-MO",NULL,NULL,NULL,NULL
110635,"University of California-Berkeley","UC Berkeley","CA","California",41860,"San Francisco-Oakland-Hayward, CA",NULL,NULL,NULL,NULL
110653,"University of California-Irvine","UC Irvine","CA","California",31080,"Los Angeles-Long Beach-Anaheim, CA",NULL,NULL,NULL,NULL
201885,"University of Cincinnati","U of Cincinnati","OH","Ohio",17140,"Cincinnati, OH-KY-IN",NULL,NULL,NULL,NULL
126614,"University of Colorado-Boulder","CU Boulder","CO","Colorado",19740,"Denver-Aurora-Lakewood, CO",NULL,NULL,NULL,NULL
139959,"University of Georgia","U of Georgia","GA","Georgia",12060,"Atlanta-Sandy Springs-Roswell, GA",NULL,NULL,NULL,NULL
155317,"University of Kansas","U of Kansas","KS","Kansas",28140,"Kansas City, MO-KS",NULL,NULL,NULL,NULL
166629,"University of Massachusetts-Amherst","UMass Amherst","MA","Massachusetts",14460,"Boston-Cambridge-Newton, MA-NH",NULL,NULL,NULL,NULL
181464,"University of Nebraska-Lincoln","UNL","NE","Nebraska",30700,"Lincoln, NE",NULL,NULL,NULL,NULL
215293,"University of Pittsburgh","U of Pitt","PA","Pennsylvania",38300,"Pittsburgh, PA",NULL,NULL,NULL,NULL
218663,"University of South Carolina-Columbia","U of S.Carolina","SC","South Carolina",17900,"Columbia, SC",NULL,NULL,NULL,NULL
